product url,product name,product price,rating,no of reviews
http://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1679497688&sprefix=ba%2Caps%2C283&sr=8-63,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,3.9 out of 5 stars,"9,061 ratings"
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2OTI1Nzg1MDM5MzcyMjQ0OjE2Nzk0OTc2ODg6c3BfYnRmOjIwMTE3Nzk1ODc2OTk4OjowOjo&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Modern-Love%2Fdp%2FB08T1769X9%2Fref%3Dsr_1_69_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497688%26sprefix%3Dba%252Caps%252C283%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DA2ZJIE4OXD710M,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)","4,499.",4.3 out of 5 stars,152 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2OTI1Nzg1MDM5MzcyMjQ0OjE2Nzk0OTc2ODg6c3BfYnRmOjIwMTExODI1MjI3Mzk4OjowOjo&url=%2FGenie-Glitter-Backpack-Women-compartments%2Fdp%2FB097JHQH13%2Fref%3Dsr_1_70_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497688%26sprefix%3Dba%252Caps%252C283%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.","1,099.",4.3 out of 5 stars,393 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTYwODc4NDg2MTQzMjc5OjE2Nzk0OTc3NDc6c3BfYXRmX25leHQ6MjAxMDU0NTE4NTE0OTg6OjA6Og&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR179L65%2Fref%3Dsr_1_65_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497747%26sprefix%3Dba%252Caps%252C283%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","1,900.",4.9 out of 5 stars,23 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTYwODc4NDg2MTQzMjc5OjE2Nzk0OTc3NDc6c3BfYXRmX25leHQ6MjAwODAyODgyMjU5OTg6OjA6Og&url=%2FClownfish-Resistant-Polyester-Trolley-Backpack%2Fdp%2FB0BFL7SVSM%2Fref%3Dsr_1_66_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497747%26sprefix%3Dba%252Caps%252C283%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,The Clownfish Tramp 33 Litre Water Resistant Polyester Two Wheel Laptop Trolley Backpack (Black- Size 48 Cm),"5,699.",5.0 out of 5 stars,2 ratings
http://www.amazon.in/Resistant-Duffle-Shoulder-Separate-Compartment/dp/B09KVBSG61/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1679497747&sprefix=ba%2Caps%2C283&sr=8-67,"Wooum Polyester 23 cms Gym Bag Sport Outdoor Bag, Shoulder Bag Side Bag with Separate Shoes Compartment Water Resistance - Dark Grey",397.,4.2 out of 5 stars,466 ratings
http://www.amazon.in/HAMMONDS-FLYCATCHER-Genuine-Shoulder-Messenger/dp/B07P2TQH78/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1679497747&sprefix=ba%2Caps%2C283&sr=8-69,"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook| Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men |","2,599.",4.3 out of 5 stars,"4,688 ratings"
http://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09P74TZY8/ref=sr_1_70?crid=2M096C61O4MLT&keywords=bags&qid=1679497747&sprefix=ba%2Caps%2C283&sr=8-70,"SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)",664.,4.4 out of 5 stars,916 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTYwODc4NDg2MTQzMjc5OjE2Nzk0OTc3NDc6c3BfbXRmOjIwMTMwMDI1MDE0NTk4OjowOjo&url=%2FTommy-Hilfiger-Jaylen-Polyester-Backpack%2Fdp%2FB0BBQH4HNM%2Fref%3Dsr_1_75_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497747%26sprefix%3Dba%252Caps%252C283%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Tommy Hilfiger Jaylen Unisex Polyester 15 Inch Laptop Backpack Black,"2,099.",4.4 out of 5 stars,7 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTYwODc4NDg2MTQzMjc5OjE2Nzk0OTc3NDc6c3BfbXRmOjIwMTEzNzg4MTc1Nzk4OjowOjo&url=%2FHEROZ-Hammer-Durable-Travel-Laptop%2Fdp%2FB07MCRFH6N%2Fref%3Dsr_1_76_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497747%26sprefix%3Dba%252Caps%252C283%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Navy Blue),"1,349.",4.3 out of 5 stars,"7,738 ratings"
http://www.amazon.in/Puma-76855-teamGOAL-Backpack-Core/dp/B07XJPLL27/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1679497747&sprefix=ba%2Caps%2C283&sr=8-83,Puma Unisex teamGOAL 23 Backpack Core Black X,939,4.3 out of 5 stars,"2,626 ratings"
